x1,x2,freq
3.230769230769231,2.6923076923076925,1
8.0,2.5384615384615383,1
12.4,2.2,1
17.294117647058822,2.6470588235294117,1
22.2,2.533333333333333,1
27.133333333333333,2.4,1
2.823529411764706,6.9411764705882355,1
7.8125,6.8125,1
12.571428571428571,7.0,1
17.428571428571427,6.928571428571429,1
22.0,6.888888888888889,1
26.76923076923077,7.153846153846154,1
2.764705882352941,12.235294117647058,1
8.0,12.0,1
12.692307692307692,12.307692307692308,1
17.0,12.157894736842104,1
22.0,11.85,1
27.0,12.25,1
2.8181818181818183,16.636363636363637,1
8.0,17.25,1
12.23076923076923,16.923076923076923,1
16.941176470588236,17.058823529411764,1
22.071428571428573,16.642857142857142,1
26.88888888888889,17.0,1
3.0588235294117645,21.88235294117647,1
8.0,21.823529411764707,1
12.461538461538462,22.307692307692307,1
16.75,22.1875,1
21.736842105263158,22.105263157894736,1
27.066666666666666,22.0,1
3.125,26.8125,1
7.714285714285714,27.214285714285715,1
12.470588235294118,27.058823529411764,1
17.636363636363637,26.727272727272727,1
22.210526315789473,27.0,1
27.066666666666666,26.666666666666668,1
