x,y,0
18,25,7
23,29,5
0,24,5
13,18,4
28,24,4
14,22,4
20,9,4
25,0,4
27,23,4
22,18,4
27,24,4
3,20,4
3,17,4
9,4,4
8,23,4
17,14,4
26,7,4
22,11,4
24,25,4
13,19,4
0,22,4
5,7,4
15,15,3
8,6,3
8,10,3
26,14,3
5,5,3
15,0,3
3,12,3
26,19,3
3,11,3
3,26,3
23,18,3
23,19,3
26,28,3
23,25,3
26,15,3
14,28,3
25,19,3
23,15,3
12,27,3
15,16,3
4,23,3
22,28,3
7,24,3
21,20,3
7,25,3
4,25,3
14,14,3
21,22,3
25,5,3
14,23,3
4,7,3
14,13,3
5,20,3
22,6,3
27,25,3
23,4,3
2,18,3
2,23,3
0,19,3
1,12,3
13,14,3
13,15,3
29,1,3
19,1,3
24,9,3
19,4,3
0,25,3
6,19,3
6,20,3
1,15,3
0,15,3
19,13,3
19,17,3
0,8,3
0,7,3
0,5,3
0,4,3
10,4,3
29,25,3
20,25,3
1,14,3
6,11,3
20,16,3
14,25,3
23,27,3
17,23,3
2,10,3
11,2,3
28,16,3
11,0,3
20,21,3
20,15,3
18,7,3
1,26,3
18,12,3
18,14,3
18,16,3
7,13,3
13,16,2
12,28,2
12,29,2
13,0,2
22,23,2
13,11,2
13,2,2
15,5,2
12,26,2
11,11,2
10,5,2
24,12,2
10,8,2
24,11,2
10,15,2
24,6,2
24,5,2
24,4,2
10,24,2
11,12,2
12,19,2
23,21,2
23,20,2
11,24,2
11,25,2
23,12,2
23,9,2
23,7,2
22,29,2
12,14,2
11,22,2
15,9,2
13,17,2
18,0,2
16,29,2
17,2,2
20,27,2
17,4,2
17,6,2
17,8,2
17,11,2
17,12,2
17,13,2
17,19,2
17,21,2
17,22,2
20,22,2
18,2,2
13,21,2
18,9,2
18,17,2
20,10,2
18,23,2
20,7,2
19,0,2
19,2,2
19,5,2
19,7,2
19,11,2
20,0,2
19,15,2
19,20,2
16,27,2
16,24,2
16,20,2
16,19,2
13,22,2
22,15,2
13,25,2
22,13,2
13,28,2
14,6,2
22,9,2
14,8,2
22,5,2
22,0,2
14,29,2
15,3,2
21,28,2
0,1,2
19,26,2
15,17,2
15,19,2
15,21,2
21,16,2
21,14,2
21,13,2
21,12,2
21,11,2
16,4,2
16,8,2
21,5,2
16,17,2
24,15,2
19,22,2
24,21,2
28,21,2
5,29,2
2,24,2
26,25,2
26,24,2
6,9,2
6,13,2
2,14,2
26,23,2
26,21,2
6,18,2
6,21,2
6,24,2
2,12,2
7,0,2
7,2,2
7,3,2
26,18,2
7,6,2
2,9,2
27,27,2
7,8,2
7,9,2
7,10,2
2,25,2
5,26,2
5,24,2
28,2,2
4,0,2
4,3,2
4,4,2
3,23,2
28,0,2
4,12,2
3,21,2
4,15,2
27,15,2
27,14,2
27,11,2
5,21,2
4,28,2
3,7,2
4,29,2
5,2,2
5,3,2
5,4,2
3,5,2
28,4,2
5,13,2
5,17,2
26,12,2
28,17,2
7,21,2
0,11,2
8,25,2
25,9,2
8,29,2
9,2,2
29,13,2
25,1,2
9,8,2
25,13,2
1,0,2
8,13,2
1,6,2
9,9,2
25,25,2
24,29,2
28,29,2
26,6,2
1,19,2
9,27,2
9,13,2
9,16,2
24,23,2
29,21,2
1,25,2
9,18,2
24,26,2
1,27,2
29,19,1
21,2,1
28,5,1
20,1,1
29,11,1
20,28,1
29,16,1
28,1,1
19,27,1
28,3,1
19,29,1
29,10,1
21,0,1
28,7,1
28,11,1
20,26,1
28,27,1
28,19,1
20,13,1
20,19,1
28,18,1
20,12,1
28,15,1
28,22,1
20,11,1
28,23,1
20,23,1
28,25,1
28,26,1
28,28,1
28,9,1
20,6,1
20,5,1
29,3,1
28,14,1
28,13,1
20,24,1
28,12,1
20,4,1
29,4,1
29,8,1
28,20,1
20,2,1
21,3,1
27,7,1
21,6,1
26,0,1
23,16,1
25,21,1
23,14,1
23,11,1
23,10,1
25,26,1
23,6,1
21,9,1
26,2,1
23,2,1
23,1,1
23,0,1
26,4,1
26,5,1
25,17,1
25,15,1
25,14,1
25,12,1
25,10,1
23,23,1
23,24,1
25,3,1
23,28,1
25,2,1
24,1,1
24,2,1
24,3,1
24,28,1
24,8,1
24,10,1
24,27,1
22,27,1
22,26,1
22,24,1
22,4,1
27,22,1
27,21,1
27,19,1
21,21,1
27,16,1
27,12,1
21,23,1
21,24,1
21,25,1
27,9,1
27,8,1
24,13,1
22,2,1
22,3,1
27,3,1
26,8,1
27,2,1
22,7,1
27,1,1
26,29,1
26,27,1
22,10,1
22,14,1
26,20,1
22,16,1
22,19,1
22,20,1
22,21,1
26,17,1
26,16,1
24,16,1
0,0,1
19,25,1
6,26,1
7,23,1
7,22,1
7,19,1
7,18,1
7,16,1
7,15,1
7,12,1
7,11,1
7,5,1
6,28,1
6,17,1
7,27,1
6,14,1
6,8,1
6,7,1
6,5,1
6,4,1
6,2,1
6,1,1
5,28,1
5,27,1
5,14,1
7,26,1
7,28,1
5,6,1
8,24,1
9,21,1
9,20,1
9,19,1
9,17,1
9,12,1
9,11,1
9,10,1
9,5,1
9,0,1
8,28,1
8,21,1
7,29,1
8,20,1
8,19,1
8,16,1
8,14,1
8,12,1
8,11,1
8,5,1
8,4,1
8,2,1
8,1,1
5,12,1
4,22,1
9,29,1
1,7,1
2,3,1
2,2,1
2,1,1
1,24,1
